base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	32.19	4	0.00208
3	32.61	3.97	0.00216
4	32.95	3.96	0.00224
5	33.23	3.97	0.00233
6	33.44	3.99	0.00241
7	33.6	4.02	0.00249
8	33.67	4.08	0.00257
9	33.67	4.16	0.00265
10	33.64	4.23	0.00273
11	33.56	4.31	0.00282
12	33.42	4.4	0.0029
13	33.3	4.48	0.00298
14	33.18	4.55	0.00306
15	33.04	4.62	0.00314
16	32.9	4.69	0.00322
17	32.76	4.77	0.00331
18	32.61	4.85	0.00339
19	32.46	4.93	0.00347
20	32.3	5	0.00355
21	32.12	5.07	0.00363
22	31.96	5.12	0.00371
23	31.84	5.16	0.0038
24	31.75	5.18	0.00388
25	31.66	5.19	0.00396
26	31.58	5.22	0.00404
27	31.54	5.23	0.00412
28	31.5	5.24	0.0042
29	31.4	5.29	0.00429
30	31.29	5.35	0.00437
31	31.15	5.43	0.00445
32	30.97	5.52	0.00453
33	30.73	5.62	0.00461
34	30.45	5.73	0.00469
35	30.17	5.84	0.00478
36	29.86	5.96	0.00486
37	29.54	6.08	0.00494
38	29.21	6.22	0.00502
39	28.87	6.36	0.0051
40	28.51	6.52	0.00518
41	28.16	6.7	0.00527
42	27.81	6.91	0.00535
43	27.45	7.13	0.00543
44	27.09	7.37	0.00551
45	26.7	7.59	0.00559
46	26.31	7.83	0.00567
47	25.9	8.08	0.00576
48	25.48	8.32	0.00584
49	25.05	8.58	0.00592
50	24.61	8.83	0.006
