base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	32.37	3.98	0.00211
3	32.89	3.96	0.00223
4	33.28	3.97	0.00234
5	33.54	4.01	0.00246
6	33.67	4.08	0.00257
7	33.65	4.19	0.00269
8	33.58	4.3	0.0028
9	33.4	4.41	0.00291
10	33.23	4.52	0.00303
11	33.04	4.62	0.00314
12	32.85	4.72	0.00326
13	32.64	4.83	0.00337
14	32.43	4.94	0.00349
15	32.19	5.04	0.0036
16	31.96	5.12	0.00371
17	31.8	5.17	0.00383
18	31.67	5.19	0.00394
19	31.57	5.22	0.00406
20	31.52	5.24	0.00417
21	31.4	5.29	0.00429
22	31.24	5.38	0.0044
23	31.01	5.5	0.00451
24	30.67	5.64	0.00463
25	30.28	5.8	0.00474
26	29.86	5.96	0.00486
27	29.4	6.13	0.00497
28	28.94	6.33	0.00509
29	28.44	6.55	0.0052
30	27.95	6.82	0.00531
31	27.45	7.13	0.00543
32	26.93	7.46	0.00554
33	26.39	7.78	0.00566
34	25.82	8.12	0.00577
35	25.23	8.47	0.00589
36	24.61	8.83	0.006
