base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	33.42	3.72	0.00137
3	33.95	3.66	0.00145
4	34.35	3.64	0.00152
5	34.64	3.65	0.0016
6	34.8	3.69	0.00167
7	34.83	3.77	0.00175
8	34.78	3.86	0.00182
9	34.62	3.97	0.00189
10	34.47	4.06	0.00197
11	34.28	4.14	0.00204
12	34.09	4.22	0.00212
13	33.93	4.28	0.00219
14	33.76	4.33	0.00227
15	33.59	4.37	0.00234
16	33.41	4.42	0.00241
17	33.2	4.49	0.00249
18	32.98	4.57	0.00256
19	32.72	4.68	0.00264
20	32.45	4.8	0.00271
21	32.13	4.93	0.00279
22	31.76	5.09	0.00286
23	31.37	5.25	0.00293
24	30.92	5.42	0.00301
25	30.49	5.59	0.00308
26	30.15	5.73	0.00316
27	29.83	5.87	0.00323
28	29.55	6	0.00331
29	29.32	6.11	0.00338
30	28.99	6.3	0.00345
31	28.63	6.54	0.00353
32	28.16	6.81	0.0036
33	27.59	7.1	0.00368
34	26.93	7.42	0.00375
35	26.16	7.76	0.00383
36	25.3	8.14	0.0039
