base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	31.88	4.02	0.00203
3	32.04	4.01	0.00205
4	32.19	4	0.00208
5	32.33	3.99	0.00211
6	32.47	3.98	0.00213
7	32.6	3.97	0.00216
8	32.72	3.97	0.00219
9	32.83	3.96	0.00221
10	32.94	3.96	0.00224
11	33.04	3.96	0.00227
12	33.13	3.96	0.0023
13	33.22	3.97	0.00232
14	33.29	3.97	0.00235
15	33.36	3.98	0.00238
16	33.43	3.99	0.0024
17	33.49	4	0.00243
18	33.54	4.01	0.00246
19	33.58	4.02	0.00248
20	33.62	4.03	0.00251
21	33.65	4.05	0.00254
22	33.67	4.07	0.00256
23	33.67	4.1	0.00259
24	33.67	4.12	0.00262
25	33.67	4.15	0.00264
26	33.66	4.18	0.00267
27	33.65	4.2	0.0027
28	33.64	4.23	0.00272
29	33.63	4.25	0.00275
30	33.6	4.28	0.00278
31	33.57	4.3	0.00281
32	33.53	4.33	0.00283
33	33.49	4.36	0.00286
34	33.44	4.38	0.00289
35	33.4	4.41	0.00291
36	33.36	4.44	0.00294
37	33.32	4.46	0.00297
38	33.29	4.49	0.00299
39	33.25	4.51	0.00302
40	33.21	4.54	0.00305
41	33.16	4.56	0.00307
42	33.12	4.58	0.0031
43	33.07	4.61	0.00313
44	33.02	4.63	0.00315
45	32.98	4.65	0.00318
46	32.93	4.68	0.00321
47	32.88	4.7	0.00323
48	32.84	4.72	0.00326
49	32.79	4.75	0.00329
50	32.74	4.78	0.00332
51	32.69	4.8	0.00334
52	32.64	4.83	0.00337
53	32.59	4.86	0.0034
54	32.54	4.89	0.00342
55	32.49	4.91	0.00345
56	32.44	4.94	0.00348
57	32.39	4.96	0.0035
58	32.34	4.98	0.00353
59	32.29	5	0.00356
60	32.23	5.03	0.00358
61	32.17	5.05	0.00361
62	32.11	5.07	0.00364
63	32.06	5.09	0.00366
64	32	5.11	0.00369
65	31.96	5.13	0.00372
66	31.91	5.14	0.00374
67	31.88	5.15	0.00377
68	31.84	5.16	0.0038
69	31.81	5.17	0.00383
70	31.78	5.17	0.00385
71	31.75	5.18	0.00388
72	31.72	5.18	0.00391
73	31.69	5.19	0.00393
74	31.66	5.19	0.00396
75	31.62	5.2	0.00399
76	31.6	5.21	0.00401
77	31.58	5.22	0.00404
78	31.56	5.22	0.00407
79	31.55	5.23	0.00409
80	31.54	5.23	0.00412
81	31.53	5.23	0.00415
82	31.52	5.24	0.00417
83	31.5	5.24	0.0042
84	31.48	5.25	0.00423
85	31.44	5.27	0.00426
86	31.41	5.29	0.00428
87	31.37	5.3	0.00431
88	31.33	5.33	0.00434
89	31.29	5.35	0.00436
90	31.25	5.37	0.00439
91	31.21	5.4	0.00442
92	31.17	5.43	0.00444
93	31.11	5.45	0.00447
94	31.06	5.48	0.0045
95	30.99	5.51	0.00452
96	30.92	5.54	0.00455
97	30.84	5.57	0.00458
98	30.75	5.61	0.0046
99	30.67	5.64	0.00463
100	30.57	5.68	0.00466
101	30.48	5.72	0.00468
102	30.39	5.75	0.00471
103	30.3	5.79	0.00474
104	30.21	5.83	0.00477
105	30.11	5.87	0.00479
106	30.01	5.9	0.00482
107	29.91	5.94	0.00485
108	29.8	5.98	0.00487
109	29.69	6.02	0.0049
110	29.59	6.06	0.00493
111	29.48	6.1	0.00495
112	29.37	6.15	0.00498
113	29.26	6.19	0.00501
114	29.15	6.24	0.00503
115	29.04	6.29	0.00506
116	28.93	6.34	0.00509
117	28.82	6.39	0.00511
118	28.7	6.44	0.00514
119	28.58	6.49	0.00517
120	28.47	6.54	0.00519
121	28.35	6.6	0.00522
122	28.23	6.66	0.00525
123	28.12	6.72	0.00528
124	28	6.79	0.0053
125	27.89	6.86	0.00533
126	27.77	6.93	0.00536
127	27.65	7	0.00538
128	27.54	7.08	0.00541
129	27.42	7.16	0.00544
130	27.3	7.23	0.00546
131	27.18	7.31	0.00549
132	27.06	7.38	0.00552
133	26.93	7.46	0.00554
134	26.8	7.53	0.00557
135	26.68	7.61	0.0056
136	26.55	7.69	0.00562
137	26.42	7.77	0.00565
138	26.29	7.84	0.00568
139	26.15	7.92	0.0057
140	26.02	8	0.00573
141	25.88	8.09	0.00576
142	25.75	8.17	0.00579
143	25.61	8.25	0.00581
144	25.47	8.33	0.00584
145	25.33	8.41	0.00587
146	25.19	8.5	0.00589
147	25.05	8.58	0.00592
148	24.9	8.66	0.00595
149	24.76	8.75	0.00597
150	24.61	8.83	0.006
