base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	33.25	3.74	0.00135
3	33.66	3.69	0.00141
4	34.02	3.65	0.00146
5	34.3	3.64	0.00151
6	34.53	3.64	0.00157
7	34.7	3.65	0.00162
8	34.8	3.69	0.00167
9	34.83	3.75	0.00172
10	34.83	3.81	0.00178
11	34.76	3.88	0.00183
12	34.64	3.96	0.00188
13	34.53	4.02	0.00194
14	34.42	4.09	0.00199
15	34.28	4.14	0.00204
16	34.14	4.2	0.0021
17	34.02	4.25	0.00215
18	33.9	4.28	0.0022
19	33.78	4.32	0.00226
20	33.66	4.36	0.00231
21	33.54	4.38	0.00236
22	33.41	4.42	0.00241
23	33.26	4.47	0.00247
24	33.11	4.52	0.00252
25	32.95	4.59	0.00257
26	32.76	4.66	0.00263
27	32.57	4.74	0.00268
28	32.36	4.83	0.00273
29	32.13	4.93	0.00279
30	31.87	5.04	0.00284
31	31.59	5.16	0.00289
32	31.31	5.27	0.00294
33	30.99	5.4	0.003
34	30.66	5.52	0.00305
35	30.39	5.64	0.0031
36	30.15	5.73	0.00316
37	29.92	5.83	0.00321
38	29.69	5.93	0.00326
39	29.52	6.01	0.00332
40	29.35	6.09	0.00337
41	29.14	6.21	0.00342
42	28.89	6.36	0.00348
43	28.63	6.54	0.00353
44	28.31	6.73	0.00358
45	27.93	6.93	0.00363
46	27.5	7.14	0.00369
47	27.03	7.37	0.00374
48	26.5	7.61	0.00379
49	25.92	7.87	0.00385
50	25.3	8.14	0.0039
