base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	32.94	3.78	0.00132
3	33.09	3.76	0.00133
4	33.24	3.74	0.00135
5	33.39	3.72	0.00137
6	33.52	3.7	0.00139
7	33.65	3.69	0.0014
8	33.78	3.68	0.00142
9	33.89	3.66	0.00144
10	34	3.66	0.00146
11	34.11	3.65	0.00147
12	34.2	3.64	0.00149
13	34.29	3.64	0.00151
14	34.37	3.64	0.00153
15	34.45	3.64	0.00154
16	34.52	3.64	0.00156
17	34.58	3.64	0.00158
18	34.64	3.65	0.0016
19	34.69	3.65	0.00161
20	34.74	3.66	0.00163
21	34.77	3.67	0.00165
22	34.8	3.69	0.00167
23	34.81	3.7	0.00168
24	34.82	3.72	0.0017
25	34.83	3.74	0.00172
26	34.83	3.76	0.00174
27	34.83	3.78	0.00175
28	34.83	3.8	0.00177
29	34.82	3.82	0.00179
30	34.8	3.84	0.00181
31	34.78	3.87	0.00182
32	34.74	3.89	0.00184
33	34.7	3.92	0.00186
34	34.66	3.94	0.00188
35	34.62	3.97	0.00189
36	34.58	3.99	0.00191
37	34.55	4.01	0.00193
38	34.52	4.03	0.00195
39	34.48	4.05	0.00196
40	34.44	4.07	0.00198
41	34.4	4.09	0.002
42	34.35	4.11	0.00202
43	34.31	4.13	0.00203
44	34.26	4.15	0.00205
45	34.21	4.17	0.00207
46	34.17	4.19	0.00209
47	34.13	4.21	0.0021
48	34.09	4.22	0.00212
49	34.05	4.24	0.00214
50	34.01	4.25	0.00216
51	33.97	4.26	0.00217
52	33.93	4.28	0.00219
53	33.89	4.29	0.00221
54	33.85	4.3	0.00222
55	33.81	4.31	0.00224
56	33.77	4.32	0.00226
57	33.73	4.34	0.00228
58	33.69	4.35	0.00229
59	33.65	4.36	0.00231
60	33.61	4.37	0.00233
61	33.57	4.38	0.00235
62	33.53	4.38	0.00236
63	33.49	4.39	0.00238
64	33.45	4.4	0.0024
65	33.4	4.42	0.00242
66	33.35	4.43	0.00243
67	33.31	4.45	0.00245
68	33.26	4.47	0.00247
69	33.21	4.49	0.00249
70	33.16	4.5	0.0025
71	33.11	4.52	0.00252
72	33.06	4.54	0.00254
73	33	4.57	0.00256
74	32.94	4.59	0.00257
75	32.89	4.61	0.00259
76	32.82	4.64	0.00261
77	32.76	4.66	0.00263
78	32.7	4.69	0.00264
79	32.64	4.71	0.00266
80	32.57	4.74	0.00268
81	32.51	4.77	0.0027
82	32.44	4.8	0.00271
83	32.37	4.83	0.00273
84	32.3	4.86	0.00275
85	32.22	4.89	0.00277
86	32.14	4.92	0.00278
87	32.06	4.96	0.0028
88	31.97	4.99	0.00282
89	31.89	5.03	0.00284
90	31.79	5.07	0.00285
91	31.7	5.11	0.00287
92	31.61	5.15	0.00289
93	31.52	5.19	0.00291
94	31.42	5.22	0.00292
95	31.33	5.26	0.00294
96	31.23	5.3	0.00296
97	31.13	5.34	0.00298
98	31.02	5.38	0.00299
99	30.91	5.43	0.00301
100	30.8	5.47	0.00303
101	30.7	5.51	0.00304
102	30.6	5.55	0.00306
103	30.51	5.59	0.00308
104	30.42	5.62	0.0031
105	30.34	5.66	0.00311
106	30.26	5.69	0.00313
107	30.18	5.72	0.00315
108	30.1	5.75	0.00317
109	30.03	5.78	0.00318
110	29.95	5.82	0.0032
111	29.88	5.85	0.00322
112	29.8	5.88	0.00324
113	29.73	5.92	0.00325
114	29.66	5.95	0.00327
115	29.6	5.98	0.00329
116	29.55	6	0.00331
117	29.49	6.03	0.00332
118	29.44	6.05	0.00334
119	29.39	6.08	0.00336
120	29.33	6.11	0.00338
121	29.27	6.14	0.00339
122	29.19	6.18	0.00341
123	29.11	6.22	0.00343
124	29.03	6.27	0.00345
125	28.95	6.33	0.00346
126	28.87	6.38	0.00348
127	28.78	6.44	0.0035
128	28.7	6.5	0.00352
129	28.61	6.56	0.00353
130	28.51	6.62	0.00355
131	28.4	6.68	0.00357
132	28.28	6.74	0.00359
133	28.16	6.81	0.0036
134	28.03	6.87	0.00362
135	27.9	6.94	0.00364
136	27.76	7.01	0.00366
137	27.62	7.08	0.00367
138	27.48	7.15	0.00369
139	27.33	7.23	0.00371
140	27.17	7.3	0.00373
141	27.01	7.38	0.00374
142	26.84	7.46	0.00376
143	26.66	7.54	0.00378
144	26.49	7.62	0.0038
145	26.3	7.7	0.00381
146	26.11	7.79	0.00383
147	25.91	7.87	0.00385
148	25.71	7.96	0.00387
149	25.51	8.05	0.00388
150	25.3	8.14	0.0039
