base	mean.quality	sd.quality	p.error
232	28.92	6.34	0.00509
233	28.86	6.37	0.0051
234	28.8	6.39	0.00512
235	28.74	6.42	0.00513
236	28.69	6.44	0.00514
237	28.63	6.47	0.00516
238	28.57	6.49	0.00517
239	28.51	6.52	0.00518
240	28.45	6.55	0.0052
241	28.4	6.58	0.00521
242	28.34	6.61	0.00522
243	28.28	6.63	0.00524
244	28.22	6.66	0.00525
245	28.16	6.7	0.00526
246	28.11	6.73	0.00528
247	28.05	6.76	0.00529
248	27.99	6.79	0.0053
249	27.93	6.83	0.00532
250	27.88	6.86	0.00533
251	27.82	6.9	0.00534
252	27.76	6.94	0.00536
253	27.7	6.97	0.00537
254	27.65	7.01	0.00538
255	27.59	7.05	0.0054
256	27.53	7.09	0.00541
257	27.47	7.12	0.00542
258	27.41	7.16	0.00544
259	27.35	7.2	0.00545
260	27.29	7.24	0.00546
261	27.23	7.28	0.00548
262	27.17	7.31	0.00549
263	27.11	7.35	0.00551
264	27.05	7.39	0.00552
265	26.99	7.42	0.00553
266	26.92	7.46	0.00555
267	26.86	7.5	0.00556
268	26.8	7.54	0.00557
269	26.73	7.58	0.00559
270	26.67	7.61	0.0056
271	26.61	7.65	0.00561
272	26.54	7.69	0.00563
273	26.48	7.73	0.00564
274	26.41	7.77	0.00565
275	26.35	7.81	0.00567
276	26.28	7.85	0.00568
277	26.21	7.89	0.00569
278	26.15	7.93	0.00571
279	26.08	7.97	0.00572
280	26.01	8.01	0.00573
281	25.95	8.05	0.00575
282	25.88	8.09	0.00576
283	25.81	8.13	0.00577
284	25.74	8.17	0.00579
285	25.68	8.21	0.0058
286	25.61	8.25	0.00581
287	25.54	8.29	0.00583
288	25.47	8.33	0.00584
289	25.4	8.37	0.00585
290	25.33	8.41	0.00587
291	25.26	8.45	0.00588
292	25.19	8.5	0.00589
293	25.12	8.54	0.00591
294	25.04	8.58	0.00592
295	24.97	8.62	0.00593
296	24.9	8.66	0.00595
297	24.83	8.71	0.00596
298	24.76	8.75	0.00597
299	24.68	8.79	0.00599
300	24.61	8.83	0.006
