base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	31.8	4.03	0.00201
3	31.88	4.02	0.00203
4	31.96	4.02	0.00204
5	32.04	4.01	0.00205
6	32.11	4	0.00207
7	32.19	4	0.00208
8	32.26	3.99	0.00209
9	32.33	3.99	0.00211
10	32.4	3.98	0.00212
11	32.47	3.98	0.00213
12	32.53	3.97	0.00215
13	32.59	3.97	0.00216
14	32.66	3.97	0.00217
15	32.72	3.97	0.00219
16	32.77	3.96	0.0022
17	32.83	3.96	0.00221
18	32.88	3.96	0.00223
19	32.94	3.96	0.00224
20	32.99	3.96	0.00225
21	33.04	3.96	0.00227
22	33.08	3.96	0.00228
23	33.13	3.96	0.00229
24	33.17	3.96	0.00231
25	33.21	3.97	0.00232
26	33.25	3.97	0.00233
27	33.29	3.97	0.00235
28	33.33	3.97	0.00236
29	33.36	3.98	0.00237
30	33.39	3.98	0.00239
31	33.42	3.99	0.0024
32	33.45	3.99	0.00241
33	33.48	4	0.00243
34	33.51	4	0.00244
35	33.53	4.01	0.00245
36	33.56	4.01	0.00247
37	33.58	4.02	0.00248
38	33.6	4.03	0.00249
39	33.62	4.03	0.00251
40	33.64	4.04	0.00252
41	33.65	4.05	0.00254
42	33.66	4.06	0.00255
43	33.66	4.07	0.00256
44	33.67	4.08	0.00258
45	33.67	4.1	0.00259
46	33.67	4.11	0.0026
47	33.67	4.12	0.00262
48	33.67	4.13	0.00263
49	33.67	4.15	0.00264
50	33.66	4.16	0.00266
51	33.66	4.17	0.00267
52	33.66	4.19	0.00268
53	33.65	4.2	0.0027
54	33.65	4.21	0.00271
55	33.64	4.22	0.00272
56	33.64	4.24	0.00274
57	33.63	4.25	0.00275
58	33.62	4.26	0.00276
59	33.61	4.27	0.00278
60	33.59	4.29	0.00279
61	33.57	4.3	0.0028
62	33.56	4.31	0.00282
63	33.54	4.33	0.00283
64	33.52	4.34	0.00284
65	33.49	4.35	0.00286
66	33.47	4.37	0.00287
67	33.45	4.38	0.00288
68	33.43	4.4	0.0029
69	33.41	4.41	0.00291
70	33.38	4.42	0.00292
71	33.36	4.43	0.00294
72	33.34	4.45	0.00295
73	33.32	4.46	0.00296
74	33.31	4.47	0.00298
75	33.29	4.48	0.00299
76	33.27	4.5	0.003
77	33.25	4.51	0.00302
78	33.23	4.52	0.00303
79	33.21	4.53	0.00304
80	33.19	4.54	0.00306
81	33.17	4.56	0.00307
82	33.15	4.57	0.00308
83	33.12	4.58	0.0031
84	33.1	4.59	0.00311
85	33.08	4.6	0.00312
86	33.05	4.61	0.00314
87	33.03	4.63	0.00315
88	33.01	4.64	0.00316
89	32.98	4.65	0.00318
90	32.96	4.66	0.00319
91	32.94	4.67	0.0032
92	32.91	4.68	0.00322
93	32.89	4.7	0.00323
94	32.87	4.71	0.00324
95	32.84	4.72	0.00326
96	32.82	4.73	0.00327
97	32.8	4.75	0.00328
98	32.78	4.76	0.0033
99	32.75	4.77	0.00331
100	32.73	4.79	0.00332
101	32.7	4.8	0.00334
102	32.68	4.81	0.00335
103	32.65	4.83	0.00336
104	32.63	4.84	0.00338
105	32.6	4.85	0.00339
106	32.58	4.87	0.0034
107	32.55	4.88	0.00342
108	32.53	4.9	0.00343
109	32.5	4.91	0.00344
110	32.48	4.92	0.00346
111	32.45	4.93	0.00347
112	32.43	4.94	0.00348
113	32.4	4.95	0.0035
114	32.38	4.97	0.00351
115	32.35	4.98	0.00353
116	32.33	4.99	0.00354
117	32.3	5	0.00355
118	32.27	5.01	0.00357
119	32.24	5.02	0.00358
120	32.21	5.03	0.00359
121	32.18	5.04	0.00361
122	32.15	5.05	0.00362
123	32.13	5.06	0.00363
124	32.1	5.08	0.00365
125	32.07	5.09	0.00366
126	32.04	5.1	0.00367
127	32.02	5.1	0.00369
128	31.99	5.11	0.0037
129	31.97	5.12	0.00371
130	31.94	5.13	0.00373
131	31.92	5.14	0.00374
132	31.9	5.14	0.00375
133	31.88	5.15	0.00377
134	31.87	5.16	0.00378
135	31.85	5.16	0.00379
136	31.83	5.16	0.00381
137	31.82	5.17	0.00382
138	31.8	5.17	0.00383
139	31.78	5.17	0.00385
140	31.77	5.17	0.00386
141	31.75	5.18	0.00387
142	31.74	5.18	0.00389
143	31.72	5.18	0.0039
144	31.71	5.18	0.00391
145	31.69	5.19	0.00393
146	31.68	5.19	0.00394
147	31.66	5.19	0.00395
148	31.65	5.2	0.00397
149	31.63	5.2	0.00398
150	31.62	5.21	0.00399
151	31.6	5.21	0.00401
152	31.59	5.21	0.00402
153	31.58	5.22	0.00403
154	31.57	5.22	0.00405
155	31.57	5.22	0.00406
156	31.56	5.22	0.00407
157	31.56	5.22	0.00409
158	31.55	5.23	0.0041
159	31.54	5.23	0.00411
160	31.54	5.23	0.00413
161	31.53	5.23	0.00414
162	31.53	5.23	0.00415
163	31.52	5.23	0.00417
164	31.51	5.24	0.00418
165	31.5	5.24	0.00419
166	31.49	5.25	0.00421
167	31.48	5.25	0.00422
168	31.47	5.26	0.00423
169	31.45	5.26	0.00425
170	31.44	5.27	0.00426
171	31.42	5.28	0.00427
172	31.4	5.29	0.00429
173	31.38	5.3	0.0043
174	31.36	5.31	0.00431
175	31.34	5.32	0.00433
176	31.32	5.33	0.00434
177	31.31	5.34	0.00435
178	31.29	5.35	0.00437
179	31.27	5.37	0.00438
180	31.25	5.38	0.00439
181	31.23	5.39	0.00441
182	31.2	5.4	0.00442
183	31.18	5.42	0.00443
184	31.16	5.43	0.00445
185	31.13	5.44	0.00446
186	31.1	5.46	0.00447
187	31.07	5.47	0.00449
188	31.04	5.49	0.0045
189	31.01	5.5	0.00452
190	30.98	5.52	0.00453
191	30.94	5.53	0.00454
192	30.9	5.55	0.00456
193	30.86	5.56	0.00457
194	30.82	5.58	0.00458
195	30.78	5.6	0.0046
196	30.74	5.61	0.00461
197	30.69	5.63	0.00462
198	30.65	5.65	0.00464
199	30.61	5.67	0.00465
200	30.56	5.69	0.00466
201	30.51	5.7	0.00468
202	30.47	5.72	0.00469
203	30.42	5.74	0.0047
204	30.37	5.76	0.00472
205	30.33	5.78	0.00473
206	30.28	5.8	0.00474
207	30.24	5.82	0.00476
208	30.19	5.84	0.00477
209	30.14	5.85	0.00478
210	30.1	5.87	0.0048
211	30.05	5.89	0.00481
212	30	5.91	0.00482
213	29.94	5.93	0.00484
214	29.89	5.95	0.00485
215	29.84	5.97	0.00486
216	29.79	5.98	0.00488
217	29.73	6	0.00489
218	29.68	6.02	0.0049
219	29.63	6.04	0.00492
220	29.57	6.06	0.00493
221	29.52	6.09	0.00494
222	29.46	6.11	0.00496
223	29.41	6.13	0.00497
224	29.36	6.15	0.00498
225	29.3	6.18	0.005
226	29.25	6.2	0.00501
227	29.2	6.22	0.00502
228	29.14	6.25	0.00504
229	29.09	6.27	0.00505
230	29.03	6.29	0.00506
231	28.97	6.32	0.00508
