base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	31.96	4.02	0.00204
3	32.19	4	0.00208
4	32.4	3.98	0.00212
5	32.6	3.97	0.00216
6	32.78	3.96	0.0022
7	32.94	3.96	0.00224
8	33.09	3.96	0.00228
9	33.22	3.97	0.00232
10	33.33	3.98	0.00236
11	33.43	3.99	0.0024
12	33.51	4	0.00244
13	33.59	4.02	0.00248
14	33.64	4.04	0.00253
15	33.67	4.08	0.00257
16	33.67	4.11	0.00261
17	33.67	4.15	0.00265
18	33.65	4.19	0.00269
19	33.64	4.23	0.00273
20	33.61	4.27	0.00277
21	33.57	4.3	0.00281
22	33.51	4.35	0.00285
23	33.44	4.39	0.00289
24	33.37	4.43	0.00293
25	33.32	4.47	0.00297
26	33.26	4.5	0.00301
27	33.2	4.54	0.00305
28	33.13	4.57	0.00309
29	33.06	4.61	0.00313
30	32.99	4.64	0.00317
31	32.92	4.68	0.00321
32	32.85	4.72	0.00325
33	32.78	4.75	0.00329
34	32.71	4.79	0.00333
35	32.64	4.84	0.00337
36	32.56	4.88	0.00341
37	32.48	4.92	0.00345
38	32.41	4.95	0.00349
39	32.33	4.98	0.00354
40	32.25	5.02	0.00358
41	32.16	5.05	0.00362
42	32.07	5.08	0.00366
43	31.99	5.11	0.0037
44	31.93	5.14	0.00374
45	31.87	5.15	0.00378
46	31.82	5.17	0.00382
47	31.77	5.17	0.00386
48	31.72	5.18	0.0039
49	31.68	5.19	0.00394
50	31.63	5.2	0.00398
51	31.59	5.21	0.00402
52	31.57	5.22	0.00406
53	31.55	5.23	0.0041
54	31.53	5.23	0.00414
55	31.51	5.24	0.00418
56	31.48	5.25	0.00422
57	31.43	5.27	0.00426
58	31.38	5.3	0.0043
59	31.32	5.33	0.00434
60	31.26	5.37	0.00438
61	31.2	5.41	0.00442
62	31.12	5.45	0.00446
63	31.04	5.49	0.00451
64	30.93	5.54	0.00455
65	30.81	5.58	0.00459
66	30.68	5.64	0.00463
67	30.54	5.69	0.00467
68	30.4	5.75	0.00471
69	30.27	5.81	0.00475
70	30.12	5.86	0.00479
71	29.97	5.92	0.00483
72	29.82	5.97	0.00487
73	29.66	6.03	0.00491
74	29.49	6.1	0.00495
75	29.33	6.16	0.00499
76	29.17	6.23	0.00503
77	29	6.31	0.00507
78	28.83	6.38	0.00511
79	28.65	6.46	0.00515
80	28.48	6.54	0.00519
81	28.3	6.62	0.00523
82	28.13	6.72	0.00527
83	27.95	6.82	0.00531
84	27.78	6.92	0.00535
85	27.61	7.04	0.00539
86	27.43	7.15	0.00543
87	27.25	7.27	0.00547
88	27.06	7.38	0.00552
89	26.87	7.49	0.00556
90	26.68	7.61	0.0056
91	26.49	7.72	0.00564
92	26.29	7.84	0.00568
93	26.09	7.96	0.00572
94	25.89	8.08	0.00576
95	25.68	8.2	0.0058
96	25.47	8.33	0.00584
97	25.26	8.45	0.00588
98	25.05	8.58	0.00592
99	24.83	8.71	0.00596
100	24.61	8.83	0.006
