base	mean.quality	sd.quality	p.error
1	31.72	4.04	0.002
2	31.76	4.04	0.00201
3	31.8	4.03	0.00201
4	31.84	4.03	0.00202
5	31.88	4.02	0.00203
6	31.92	4.02	0.00203
7	31.96	4.02	0.00204
8	32	4.01	0.00205
9	32.04	4.01	0.00205
10	32.07	4.01	0.00206
11	32.11	4	0.00207
12	32.15	4	0.00207
13	32.19	4	0.00208
14	32.22	4	0.00209
15	32.26	3.99	0.00209
16	32.29	3.99	0.0021
17	32.33	3.99	0.00211
18	32.36	3.99	0.00211
19	32.4	3.98	0.00212
20	32.43	3.98	0.00213
21	32.46	3.98	0.00213
22	32.5	3.98	0.00214
23	32.53	3.97	0.00215
24	32.56	3.97	0.00215
25	32.59	3.97	0.00216
26	32.62	3.97	0.00217
27	32.65	3.97	0.00217
28	32.68	3.97	0.00218
29	32.71	3.97	0.00219
30	32.74	3.96	0.00219
31	32.77	3.96	0.0022
32	32.8	3.96	0.00221
33	32.83	3.96	0.00221
34	32.86	3.96	0.00222
35	32.88	3.96	0.00223
36	32.91	3.96	0.00223
37	32.94	3.96	0.00224
38	32.96	3.96	0.00225
39	32.99	3.96	0.00225
40	33.01	3.96	0.00226
41	33.03	3.96	0.00227
42	33.06	3.96	0.00227
43	33.08	3.96	0.00228
44	33.1	3.96	0.00229
45	33.13	3.96	0.00229
46	33.15	3.96	0.0023
47	33.17	3.96	0.00231
48	33.19	3.96	0.00231
49	33.21	3.97	0.00232
50	33.23	3.97	0.00233
51	33.25	3.97	0.00233
52	33.27	3.97	0.00234
53	33.29	3.97	0.00235
54	33.31	3.97	0.00235
55	33.32	3.97	0.00236
56	33.34	3.98	0.00237
57	33.36	3.98	0.00237
58	33.37	3.98	0.00238
59	33.39	3.98	0.00239
60	33.41	3.98	0.00239
61	33.42	3.99	0.0024
62	33.44	3.99	0.00241
63	33.45	3.99	0.00241
64	33.47	3.99	0.00242
65	33.48	4	0.00243
66	33.49	4	0.00243
67	33.51	4	0.00244
68	33.52	4	0.00245
69	33.53	4.01	0.00245
70	33.55	4.01	0.00246
71	33.56	4.01	0.00247
72	33.57	4.02	0.00247
73	33.58	4.02	0.00248
74	33.59	4.02	0.00249
75	33.6	4.02	0.00249
76	33.61	4.03	0.0025
77	33.62	4.03	0.00251
78	33.63	4.04	0.00251
79	33.64	4.04	0.00252
80	33.64	4.05	0.00253
81	33.65	4.05	0.00253
82	33.65	4.06	0.00254
83	33.66	4.06	0.00255
84	33.66	4.07	0.00255
85	33.66	4.07	0.00256
86	33.67	4.08	0.00257
87	33.67	4.08	0.00257
88	33.67	4.09	0.00258
89	33.67	4.09	0.00259
90	33.67	4.1	0.00259
91	33.67	4.11	0.0026
92	33.67	4.11	0.00261
93	33.67	4.12	0.00261
94	33.67	4.13	0.00262
95	33.67	4.13	0.00263
96	33.67	4.14	0.00263
97	33.67	4.15	0.00264
98	33.67	4.15	0.00265
99	33.67	4.16	0.00265
100	33.66	4.17	0.00266
101	33.66	4.17	0.00267
102	33.66	4.18	0.00267
103	33.66	4.19	0.00268
104	33.65	4.19	0.00269
105	33.65	4.2	0.00269
106	33.65	4.21	0.0027
107	33.65	4.21	0.00271
108	33.64	4.22	0.00271
109	33.64	4.22	0.00272
110	33.64	4.23	0.00273
111	33.64	4.23	0.00273
112	33.63	4.24	0.00274
113	33.63	4.25	0.00275
114	33.63	4.25	0.00275
115	33.62	4.26	0.00276
116	33.61	4.27	0.00277
117	33.61	4.27	0.00277
118	33.6	4.28	0.00278
119	33.59	4.28	0.00279
120	33.59	4.29	0.00279
121	33.58	4.3	0.0028
122	33.57	4.3	0.00281
123	33.56	4.31	0.00281
124	33.55	4.32	0.00282
125	33.54	4.32	0.00283
126	33.53	4.33	0.00283
127	33.52	4.34	0.00284
128	33.51	4.35	0.00285
129	33.5	4.35	0.00285
130	33.49	4.36	0.00286
131	33.47	4.37	0.00287
132	33.46	4.37	0.00287
133	33.45	4.38	0.00288
134	33.44	4.39	0.00289
135	33.43	4.39	0.00289
136	33.42	4.4	0.0029
137	33.41	4.41	0.00291
138	33.4	4.41	0.00291
139	33.39	4.42	0.00292
140	33.38	4.43	0.00293
141	33.37	4.43	0.00293
142	33.36	4.44	0.00294
143	33.35	4.45	0.00295
144	33.34	4.45	0.00295
145	33.33	4.46	0.00296
146	33.32	4.46	0.00297
147	33.31	4.47	0.00297
148	33.3	4.48	0.00298
149	33.29	4.48	0.00299
150	33.28	4.49	0.00299
151	33.27	4.5	0.003
152	33.26	4.5	0.00301
153	33.25	4.51	0.00302
154	33.24	4.51	0.00302
155	33.23	4.52	0.00303
156	33.22	4.52	0.00304
157	33.21	4.53	0.00304
158	33.2	4.54	0.00305
159	33.19	4.54	0.00306
160	33.18	4.55	0.00306
161	33.17	4.55	0.00307
162	33.16	4.56	0.00308
163	33.15	4.57	0.00308
164	33.14	4.57	0.00309
165	33.13	4.58	0.0031
166	33.12	4.58	0.0031
167	33.1	4.59	0.00311
168	33.09	4.6	0.00312
169	33.08	4.6	0.00312
170	33.07	4.61	0.00313
171	33.06	4.61	0.00314
172	33.05	4.62	0.00314
173	33.03	4.62	0.00315
174	33.02	4.63	0.00316
175	33.01	4.64	0.00316
176	33	4.64	0.00317
177	32.99	4.65	0.00318
178	32.97	4.65	0.00318
179	32.96	4.66	0.00319
180	32.95	4.67	0.0032
181	32.94	4.67	0.0032
182	32.93	4.68	0.00321
183	32.92	4.68	0.00322
184	32.9	4.69	0.00322
185	32.89	4.69	0.00323
186	32.88	4.7	0.00324
187	32.87	4.71	0.00324
188	32.86	4.71	0.00325
189	32.85	4.72	0.00326
190	32.84	4.72	0.00326
191	32.83	4.73	0.00327
192	32.81	4.74	0.00328
193	32.8	4.74	0.00328
194	32.79	4.75	0.00329
195	32.78	4.76	0.0033
196	32.77	4.76	0.0033
197	32.76	4.77	0.00331
198	32.74	4.78	0.00332
199	32.73	4.78	0.00332
200	32.72	4.79	0.00333
201	32.71	4.8	0.00334
202	32.69	4.8	0.00334
203	32.68	4.81	0.00335
204	32.67	4.82	0.00336
205	32.66	4.82	0.00336
206	32.64	4.83	0.00337
207	32.63	4.84	0.00338
208	32.62	4.85	0.00338
209	32.61	4.85	0.00339
210	32.59	4.86	0.0034
211	32.58	4.87	0.0034
212	32.57	4.87	0.00341
213	32.56	4.88	0.00342
214	32.54	4.89	0.00342
215	32.53	4.89	0.00343
216	32.52	4.9	0.00344
217	32.51	4.91	0.00344
218	32.49	4.91	0.00345
219	32.48	4.92	0.00346
220	32.47	4.92	0.00346
221	32.46	4.93	0.00347
222	32.44	4.94	0.00348
223	32.43	4.94	0.00348
224	32.42	4.95	0.00349
