base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	33.02	3.77	0.00133
3	33.25	3.74	0.00135
4	33.46	3.71	0.00138
5	33.66	3.69	0.00141
6	33.84	3.67	0.00143
7	34.01	3.66	0.00146
8	34.16	3.65	0.00148
9	34.29	3.64	0.00151
10	34.41	3.64	0.00154
11	34.52	3.64	0.00156
12	34.61	3.65	0.00159
13	34.69	3.65	0.00162
14	34.76	3.67	0.00164
15	34.8	3.69	0.00167
16	34.82	3.71	0.00169
17	34.83	3.74	0.00172
18	34.83	3.77	0.00175
19	34.83	3.8	0.00177
20	34.81	3.83	0.0018
21	34.77	3.87	0.00183
22	34.72	3.91	0.00185
23	34.66	3.95	0.00188
24	34.6	3.98	0.0019
25	34.55	4.02	0.00193
26	34.5	4.05	0.00196
27	34.44	4.08	0.00198
28	34.37	4.11	0.00201
29	34.3	4.14	0.00204
30	34.23	4.16	0.00206
31	34.16	4.19	0.00209
32	34.1	4.22	0.00211
33	34.04	4.24	0.00214
34	33.98	4.26	0.00217
35	33.93	4.28	0.00219
36	33.87	4.3	0.00222
37	33.81	4.31	0.00225
38	33.74	4.33	0.00227
39	33.68	4.35	0.0023
40	33.62	4.37	0.00232
41	33.56	4.38	0.00235
42	33.5	4.39	0.00238
43	33.44	4.41	0.0024
44	33.37	4.43	0.00243
45	33.3	4.45	0.00246
46	33.22	4.48	0.00248
47	33.15	4.51	0.00251
48	33.07	4.54	0.00253
49	32.99	4.57	0.00256
50	32.9	4.6	0.00259
51	32.81	4.64	0.00261
52	32.72	4.68	0.00264
53	32.62	4.72	0.00267
54	32.52	4.76	0.00269
55	32.42	4.81	0.00272
56	32.31	4.85	0.00274
57	32.2	4.9	0.00277
58	32.08	4.95	0.0028
59	31.95	5.01	0.00282
60	31.81	5.06	0.00285
61	31.67	5.12	0.00288
62	31.53	5.18	0.0029
63	31.4	5.24	0.00293
64	31.25	5.29	0.00295
65	31.1	5.36	0.00298
66	30.93	5.42	0.00301
67	30.77	5.48	0.00303
68	30.62	5.54	0.00306
69	30.48	5.6	0.00309
70	30.35	5.65	0.00311
71	30.23	5.7	0.00314
72	30.12	5.75	0.00316
73	30	5.8	0.00319
74	29.89	5.84	0.00322
75	29.77	5.9	0.00324
76	29.67	5.94	0.00327
77	29.58	5.99	0.0033
78	29.5	6.02	0.00332
79	29.42	6.06	0.00335
80	29.33	6.1	0.00337
81	29.24	6.16	0.0034
82	29.12	6.22	0.00343
83	29	6.29	0.00345
84	28.87	6.38	0.00348
85	28.75	6.46	0.00351
86	28.61	6.55	0.00353
87	28.46	6.64	0.00356
88	28.29	6.74	0.00358
89	28.1	6.84	0.00361
90	27.91	6.94	0.00364
91	27.7	7.04	0.00366
92	27.48	7.15	0.00369
93	27.25	7.26	0.00372
94	27.01	7.38	0.00374
95	26.76	7.49	0.00377
96	26.49	7.62	0.00379
97	26.21	7.74	0.00382
98	25.92	7.87	0.00385
99	25.61	8	0.00387
100	25.3	8.14	0.0039
