base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	32.82	3.8	0.0013
3	32.86	3.79	0.00131
4	32.9	3.78	0.00131
5	32.94	3.78	0.00132
6	32.98	3.77	0.00132
7	33.02	3.77	0.00133
8	33.05	3.76	0.00133
9	33.09	3.76	0.00133
10	33.13	3.75	0.00134
11	33.17	3.75	0.00134
12	33.2	3.74	0.00135
13	33.24	3.74	0.00135
14	33.28	3.73	0.00136
15	33.31	3.73	0.00136
16	33.35	3.72	0.00137
17	33.38	3.72	0.00137
18	33.42	3.72	0.00137
19	33.45	3.71	0.00138
20	33.49	3.71	0.00138
21	33.52	3.7	0.00139
22	33.55	3.7	0.00139
23	33.59	3.7	0.0014
24	33.62	3.69	0.0014
25	33.65	3.69	0.0014
26	33.68	3.69	0.00141
27	33.71	3.68	0.00141
28	33.74	3.68	0.00142
29	33.77	3.68	0.00142
30	33.8	3.67	0.00143
31	33.83	3.67	0.00143
32	33.86	3.67	0.00143
33	33.89	3.66	0.00144
34	33.92	3.66	0.00144
35	33.95	3.66	0.00145
36	33.97	3.66	0.00145
37	34	3.66	0.00146
38	34.03	3.65	0.00146
39	34.05	3.65	0.00146
40	34.08	3.65	0.00147
41	34.1	3.65	0.00147
42	34.13	3.65	0.00148
43	34.15	3.65	0.00148
44	34.17	3.64	0.00149
45	34.2	3.64	0.00149
46	34.22	3.64	0.0015
47	34.24	3.64	0.0015
48	34.26	3.64	0.0015
49	34.29	3.64	0.00151
50	34.31	3.64	0.00151
51	34.33	3.64	0.00152
52	34.35	3.64	0.00152
53	34.37	3.64	0.00153
54	34.39	3.64	0.00153
55	34.41	3.64	0.00153
56	34.42	3.64	0.00154
57	34.44	3.64	0.00154
58	34.46	3.64	0.00155
59	34.48	3.64	0.00155
60	34.5	3.64	0.00156
61	34.51	3.64	0.00156
62	34.53	3.64	0.00156
63	34.54	3.64	0.00157
64	34.56	3.64	0.00157
65	34.58	3.64	0.00158
66	34.59	3.64	0.00158
67	34.61	3.64	0.00159
68	34.62	3.65	0.00159
69	34.63	3.65	0.0016
70	34.65	3.65	0.0016
71	34.66	3.65	0.0016
72	34.67	3.65	0.00161
73	34.69	3.65	0.00161
74	34.7	3.65	0.00162
75	34.71	3.66	0.00162
76	34.72	3.66	0.00163
77	34.73	3.66	0.00163
78	34.74	3.66	0.00163
79	34.75	3.66	0.00164
80	34.76	3.67	0.00164
81	34.77	3.67	0.00165
82	34.77	3.67	0.00165
83	34.78	3.68	0.00166
84	34.79	3.68	0.00166
85	34.79	3.69	0.00166
86	34.8	3.69	0.00167
87	34.8	3.69	0.00167
88	34.81	3.7	0.00168
89	34.81	3.7	0.00168
90	34.81	3.71	0.00169
91	34.82	3.71	0.00169
92	34.82	3.72	0.00169
93	34.82	3.72	0.0017
94	34.82	3.72	0.0017
95	34.83	3.73	0.00171
96	34.83	3.73	0.00171
97	34.83	3.74	0.00172
98	34.83	3.74	0.00172
99	34.83	3.75	0.00173
100	34.83	3.75	0.00173
101	34.83	3.76	0.00173
102	34.83	3.76	0.00174
103	34.83	3.77	0.00174
104	34.83	3.77	0.00175
105	34.83	3.78	0.00175
106	34.83	3.78	0.00176
107	34.83	3.79	0.00176
108	34.83	3.79	0.00176
109	34.83	3.8	0.00177
110	34.83	3.8	0.00177
111	34.83	3.81	0.00178
112	34.83	3.81	0.00178
113	34.82	3.82	0.00179
114	34.82	3.82	0.00179
115	34.82	3.83	0.00179
116	34.81	3.83	0.0018
117	34.81	3.84	0.0018
118	34.8	3.84	0.00181
119	34.79	3.85	0.00181
120	34.79	3.86	0.00182
121	34.78	3.86	0.00182
122	34.77	3.87	0.00183
123	34.76	3.87	0.00183
124	34.76	3.88	0.00183
125	34.75	3.89	0.00184
126	34.74	3.89	0.00184
127	34.73	3.9	0.00185
128	34.72	3.91	0.00185
129	34.71	3.91	0.00186
130	34.7	3.92	0.00186
131	34.69	3.93	0.00186
132	34.68	3.93	0.00187
133	34.67	3.94	0.00187
134	34.66	3.95	0.00188
135	34.65	3.95	0.00188
136	34.64	3.96	0.00189
137	34.63	3.97	0.00189
138	34.62	3.97	0.00189
139	34.61	3.98	0.0019
140	34.6	3.98	0.0019
141	34.59	3.99	0.00191
142	34.58	4	0.00191
143	34.57	4	0.00192
144	34.56	4.01	0.00192
145	34.55	4.01	0.00193
146	34.55	4.02	0.00193
147	34.54	4.02	0.00193
148	34.53	4.03	0.00194
149	34.52	4.03	0.00194
150	34.52	4.04	0.00195
151	34.51	4.04	0.00195
152	34.5	4.05	0.00196
153	34.49	4.05	0.00196
154	34.48	4.06	0.00196
155	34.47	4.06	0.00197
156	34.46	4.07	0.00197
157	34.45	4.07	0.00198
158	34.44	4.08	0.00198
159	34.43	4.08	0.00199
160	34.42	4.09	0.00199
161	34.41	4.09	0.00199
162	34.4	4.1	0.002
163	34.39	4.1	0.002
164	34.37	4.11	0.00201
165	34.36	4.11	0.00201
166	34.35	4.11	0.00202
167	34.34	4.12	0.00202
168	34.33	4.12	0.00202
169	34.32	4.13	0.00203
170	34.31	4.13	0.00203
171	34.29	4.14	0.00204
172	34.28	4.14	0.00204
173	34.27	4.15	0.00205
174	34.26	4.15	0.00205
175	34.25	4.16	0.00206
176	34.24	4.16	0.00206
177	34.22	4.17	0.00206
178	34.21	4.17	0.00207
179	34.2	4.18	0.00207
180	34.19	4.18	0.00208
181	34.18	4.18	0.00208
182	34.17	4.19	0.00209
183	34.16	4.19	0.00209
184	34.15	4.2	0.00209
185	34.14	4.2	0.0021
186	34.13	4.21	0.0021
187	34.12	4.21	0.00211
188	34.11	4.21	0.00211
189	34.1	4.22	0.00212
190	34.09	4.22	0.00212
191	34.08	4.23	0.00212
192	34.07	4.23	0.00213
193	34.06	4.23	0.00213
194	34.05	4.24	0.00214
195	34.04	4.24	0.00214
196	34.03	4.24	0.00215
197	34.02	4.25	0.00215
198	34.01	4.25	0.00216
199	34	4.25	0.00216
200	33.99	4.26	0.00216
201	33.98	4.26	0.00217
202	33.97	4.26	0.00217
203	33.96	4.27	0.00218
204	33.95	4.27	0.00218
205	33.94	4.27	0.00219
